TimeStep	 C_HAM	 C_MOM0	 C_MOM1	 C_MOM2	
0	0.000958177	1.74592e-05	1.88545e-05	9.0476e-06
400	0.000899499	5.12088e-05	4.77008e-05	4.64572e-05
800	0.00222667	0.000204622	0.000151556	0.000131958
1200	0.00521911	0.00148688	0.000607887	0.000347224
1600	0.0236303	0.00799376	0.00500593	0.00318299
2000	0.0463823	0.0130974	0.0137816	0.00920017
2400	0.0748205	0.0151705	0.0186497	0.0163137
2800	0.0845696	0.0175476	0.0253419	0.0180005
3200	0.0876501	0.0223813	0.0260926	0.0196846
3600	0.0890584	0.0255532	0.0291865	0.0215545
4000	0.0930573	0.027617	0.0340329	0.0262747
4400	0.0945268	0.0303428	0.0375393	0.0300095
4800	0.096178	0.0345784	0.0407399	0.0321299
5200	0.102729	0.038823	0.04496	0.036192
5600	0.100859	0.0405088	0.045987	0.0380616
6000	0.102991	0.0444254	0.0479501	0.0389108
6400	0.0994617	0.0458644	0.050853	0.0402147
6800	0.102179	0.0477341	0.0522374	0.0422973
7200	0.100556	0.050303	0.0548601	0.0448803
7600	0.102828	0.0538733	0.0574434	0.0481979
8000	0.102684	0.0557989	0.0585251	0.0497239
8400	0.105255	0.0588768	0.058955	0.0511324
8800	0.105459	0.0600465	0.0598269	0.0523616
9200	0.107701	0.0608748	0.0617147	0.0543297
9600	0.106486	0.0616702	0.0625964	0.0553283
10000	0.107852	0.0629736	0.0646149	0.056665
10400	0.110551	0.0641487	0.0660171	0.0574001
10800	0.109474	0.0650121	0.06687	0.0579026
11200	0.109332	0.0654717	0.0676419	0.0580487
11600	0.108713	0.0682705	0.0672912	0.0584982
12000	0.109437	0.0681399	0.0678665	0.0602766
12400	0.108869	0.0697833	0.0676195	0.0603891
12800	0.108157	0.0716214	0.0683266	0.061239
13200	0.109107	0.0728692	0.0677821	0.0619027
13600	0.108998	0.0721354	0.0674792	0.0614985
14000	0.108815	0.0726985	0.0679372	0.0626216
14400	0.108557	0.0722279	0.0682877	0.0621459
14800	0.108818	0.0734403	0.0704857	0.0632109
15200	0.108637	0.0739879	0.0695052	0.0622051
15600	0.10877	0.0770794	0.0707427	0.0642666
16000	0.109117	0.0744626	0.0706932	0.0637216
16400	0.109103	0.0759363	0.0718426	0.0645222
16800	0.10961	0.0737507	0.0718234	0.0623093
17200	0.109819	0.0741413	0.073022	0.0653578
17600	0.110276	0.0731324	0.071493	0.0623471
18000	0.110673	0.0788868	0.0751174	0.0649172
18400	0.11113	0.0742926	0.0726029	0.0631673
18800	0.111553	0.0805967	0.0725789	0.0650504
19200	0.112184	0.0755276	0.0744733	0.0648825
19600	0.112667	0.074509	0.0718298	0.0650709
20000	0.11318	0.0751671	0.0727542	0.0657007
20400	0.113656	0.076778	0.0701677	0.0654908
20800	0.114378	0.0729506	0.0740733	0.0685887
21200	0.114819	0.074097	0.0704825	0.0650201
21600	0.115571	0.0760054	0.0721032	0.0683883
22000	0.116086	0.074959	0.0707982	0.064783
22400	0.116798	0.0760846	0.0747052	0.0689408
22800	0.11745	0.0776314	0.0693197	0.0661985
23200	0.118124	0.0783264	0.0726086	0.0680057
23600	0.11881	0.0730212	0.0714469	0.0670495
24000	0.119582	0.0790756	0.0748543	0.0695466
24400	0.120337	0.0755817	0.0724029	0.0675957
24800	0.121062	0.0763523	0.0719147	0.0704833
25200	0.121939	0.0769909	0.0766245	0.0690684
25600	0.12271	0.0789352	0.0719722	0.068483
26000	0.123538	0.075733	0.0722402	0.071887
26400	0.124381	0.0734979	0.0721051	0.0668048
26800	0.125195	0.0779997	0.0729876	0.0679591
27200	0.126063	0.0744564	0.0728327	0.0713897
27600	0.12699	0.0749526	0.0708655	0.0684249
28000	0.127833	0.0733589	0.0717536	0.0684864
28400	0.128744	0.0737097	0.0710116	0.0701626
28800	0.129574	0.0735456	0.0711615	0.0701358
29200	0.130433	0.070139	0.0731008	0.0713757
29600	0.131349	0.0697549	0.0708083	0.0699449
30000	0.132205	0.0725583	0.0709306	0.0705581
30400	0.133143	0.0692715	0.0728458	0.0727657
30800	0.134103	0.0675602	0.0704233	0.0689122
31200	0.134905	0.0686691	0.07142	0.0699247
31600	0.135924	0.0687328	0.0716978	0.0736895
32000	0.136891	0.0650272	0.0698788	0.0662835
32400	0.137838	0.0657801	0.0725432	0.0731028
32800	0.13887	0.0671658	0.0715309	0.0737642
33200	0.139849	0.0623231	0.0711774	0.0659886
33600	0.140907	0.0633706	0.0737176	0.072961
34000	0.142044	0.0626338	0.072439	0.0715644
