TimeStep	 r	 rxpsi_real_lm	 rxpsi_img_lm
0	50	3.57704e-07	-9.42373e-11	
400	50	3.5677e-07	-2.20583e-11	
800	50	3.52671e-07	1.40752e-10	
1200	50	3.52197e-07	2.90981e-10	
1600	50	3.55776e-07	2.9505e-10	
2000	50	3.55668e-07	1.24572e-10	
2400	50	3.54387e-07	-1.18726e-12	
2800	50	3.5386e-07	6.6909e-11	
3200	50	3.54146e-07	9.97412e-11	
3600	50	3.5522e-07	5.53777e-11	
4000	50	3.58961e-07	1.65695e-10	
4400	50	3.62908e-07	8.91501e-10	
4800	50	3.75355e-07	-1.85099e-09	
5200	50	3.6507e-07	-3.77006e-09	
5600	50	3.16274e-07	1.67656e-08	
6000	50	9.83685e-07	-2.65435e-08	
6400	50	7.71751e-07	9.52999e-08	
6800	50	-6.00217e-06	-7.94576e-08	
7200	50	1.55504e-06	-2.21334e-07	
7600	50	5.16417e-05	-1.02467e-06	
8000	50	-6.25687e-05	2.14524e-06	
8400	50	-6.20771e-05	-6.31261e-06	
8800	50	0.000148584	2.78747e-05	
9200	50	-0.000106863	-2.2803e-05	
9600	50	0.000173526	-1.12713e-06	
10000	50	-0.000359258	2.55016e-05	
10400	50	0.000377667	-3.36169e-05	
10800	50	-4.10928e-05	4.14559e-05	
11200	50	-0.000423956	-4.83915e-05	
11600	50	0.000102553	4.79286e-05	
12000	50	-0.000625105	-5.1215e-05	
12400	50	0.00103107	5.64878e-05	
12800	50	1.94442e-05	-4.25536e-05	
13200	50	-0.000238236	1.67129e-05	
13600	50	0.000221698	-1.03662e-05	
14000	50	-0.000113623	3.15376e-05	
14400	50	-0.000894196	-5.72227e-05	
14800	50	0.00135299	5.26529e-05	
15200	50	-0.000943312	-1.28657e-05	
15600	50	0.000453107	-4.05628e-05	
16000	50	-3.14928e-05	7.26206e-05	
16400	50	-0.000280177	-6.43661e-05	
16800	50	0.000450497	2.69225e-05	
17200	50	-0.000754793	3.07794e-05	
17600	50	0.00113163	-8.39211e-05	
18000	50	-0.00108704	7.39764e-05	
18400	50	0.00058833	1.81668e-06	
18800	50	-2.72559e-05	-7.65639e-05	
19200	50	-0.000322656	0.000100102	
19600	50	0.00047854	-8.64997e-05	
20000	50	-0.000525296	7.19925e-05	
20400	50	0.000419934	-6.90242e-05	
20800	50	-0.000187447	6.58845e-05	
21200	50	0.000130887	-5.55811e-05	
21600	50	-0.000228276	2.52894e-05	
22000	50	9.23319e-05	4.42685e-05	
22400	50	0.000146814	-0.000113447	
22800	50	-0.00020125	0.000113817	
23200	50	0.000150234	-7.44303e-05	
23600	50	-1.66232e-05	5.57704e-05	
24000	50	-9.43244e-05	-2.31586e-05	
24400	50	-8.05769e-05	-4.29802e-05	
24800	50	0.000213732	7.12722e-05	
25200	50	1.40532e-06	-5.25347e-05	
25600	50	-0.00023968	3.32242e-05	
26000	50	0.000360529	-4.2864e-06	
26400	50	-0.000324499	-2.6087e-05	
26800	50	-3.45441e-05	1.21045e-05	
27200	50	0.000116291	-1.21926e-06	
27600	50	0.000394419	3.39275e-05	
28000	50	-0.000570483	-3.57933e-05	
28400	50	1.70406e-05	-2.81817e-05	
28800	50	0.000340396	7.78818e-05	
29200	50	2.55447e-05	-4.87585e-05	
29600	50	-0.000504198	-4.28797e-05	
30000	50	0.000495006	8.18878e-05	
30400	50	-0.00030963	4.43363e-06	
30800	50	0.000446767	-7.69762e-05	
31200	50	-0.000556639	3.10822e-05	
