gridRatio	maxDepth	numElems	cgNodes	unzip	rhs	zip	commun	total
3.1E-05	8	8	729	0.003301	0.020305	0.001308	2E-06	0.024916
0.001072	8	281	16593	3.302387	0.561631	0.047405	2E-06	3.911425
0.001099	8	288	17041	3.474505	0.592154	0.052491	2E-06	4.119152
0.006973	8	1828	113237	5.404145	2.529528	0.307796	3E-06	8.241472
0.010925	8	2864	176841	11.335664	4.215877	0.47504	3E-06	16.026584
0.016106	8	4222	260609	13.709231	5.85491	0.671479	3E-06	20.235623
0.023102	8	6056	374265	15.912507	7.849072	0.950687	3E-06	24.712269
0.036133	8	9472	587729	35.278223	14.109681	1.612056	3E-06	50.999963
0.067455	8	17683	1100057	36.337719	28.320097	2.908942	3E-06	67.566761
0.094452	8	24760	1545521	69.469046	42.848961	4.247801	3E-06	116.565811
0.117256	8	30738	1921513	69.766913	49.260641	5.100804	3E-06	124.128361
0.143799	8	37696	2359649	70.182893	59.144642	6.165112	3E-06	135.49265
0.190155	8	49848	3127609	127.657606	82.372304	8.147935	3E-06	218.177848
0.275311	8	72171	4553317	92.493518	115.42092	11.806427	3E-06	219.720868
0.345886	8	90672	5725465	174.682587	162.413075	15.545541	1.4E-05	352.641217
0.399132	8	104630	6608721	163.984895	168.047475	17.56358	4E-06	349.595954
0.458038	8	120072	7586377	158.897996	201.656591	21.275941	3E-06	381.830531
0.558228	8	146336	9252897	254.395464	229.818016	21.874707	4E-06	506.088191
0.711128	8	186418	11867573	175.588169	296.040397	32.390099	3E-06	504.018668
0.845764	8	221712	14109865	273.978992	349.404414	32.957039	3E-06	656.340448
0.920479	8	241298	15492453	197.807616	376.834361	35.275682	4E-06	609.917663
1	8	262144	16974593	105.392865	505.694129	48.957286	3E-06	660.044283
